,year,Godawari,Budhinanda,Naumule
30,1980,14.232949015949728,2.053228223396448,4.976042927645628
31,1981,13.833303487830136,1.3983521295561643,5.006379841747945
32,1982,13.842031454073972,1.6038664161123288,4.512813694473973
33,1983,13.800713740846575,1.09129957129863,4.59108672339726
34,1984,14.155616997224042,2.1655226409262296,5.14202134562295
35,1985,14.538029930185754,2.3066597463038354,5.528627959109589
36,1986,14.042863948476713,1.124266998441096,4.799005927221918
37,1987,14.779738096781644,2.2314919948750687,5.706018839371781
38,1988,14.815724821868852,3.070887844628415,5.935048292483606
39,1989,14.023770921779999,1.939143021598082,4.50470666930137
40,1990,14.48956959720274,2.4865321089123285,5.63185680570959
41,1991,14.38081189479726,1.9957908292493152,5.127416669778082
42,1992,14.148272955773225,1.9859449595081968,5.040357075642077
43,1993,14.429755952849314,2.967106117956164,5.555273284241096
44,1994,14.321213041942466,2.3552324370273974,5.293764971835616
45,1995,14.324317876539725,2.1698240643068494,5.11369326900274
46,1996,14.40967247595355,2.238804118775956,5.167826414579235
47,1997,13.340767860478904,0.9084411539471233,4.018074950971781
48,1998,14.802973352131506,2.813576209709589,5.913448280452055
49,1999,14.804732302057536,2.9963436994547945,6.031050219290411
50,2000,14.13640351228552,2.5130583317248636,5.137404883653005
51,2001,14.35935658527452,2.8350082163112327,5.2813159663698634
52,2002,14.426050570790684,2.3305264704191777,5.134352657505206
53,2003,14.256418308673972,2.3967669907068494,5.200210344430137
54,2004,14.592390827841529,2.6496339202896175,5.570593144887979
55,2005,14.296889154572602,2.342801046813699,4.814822903350685
56,2006,14.739407681706302,3.231216929467671,5.958289834753424
57,2007,14.698448851142466,3.0699529450849314,5.85034881681096
58,2008,14.566271044954917,2.7475270506008194,5.5577593014407105
59,2009,14.925888042109587,3.3291482611972603,6.040011095317808
60,2010,15.165556577549042,3.737154760643836,6.481731178953424
61,2011,14.49512838139178,2.851062601410959,5.375581286619178
62,2012,14.117257825168034,1.9760653085603825,4.60558287068306
63,2013,14.615036088865754,2.7644093660739726,5.630180129213699
64,2014,14.484643513353426,1.956485828871233,4.961350455460273
65,2015,14.770686177331505,2.487192544613699,5.397156291928767
66,2016,15.228587240663934,4.264786102722951,6.31733015021694
67,2017,15.008495205282193,3.146652232271233,6.011100486123287
68,2018,14.58936639664904,3.364706488826575,5.931904871326028
69,2019,14.713943050390137,2.1454493384463014,5.170803591898631
70,2020,14.48313599956011,2.170473396136612,5.561237583398907
71,2021,14.938163346139726,2.9395134089342463,6.345532517334247
72,2022,14.939661570089315,2.609284403899178,5.974804078509589
