,year,Godawari,Budhinanda,Naumule
30,1980,19.099981476325958,6.572950167823906,9.79727744809194
31,1981,18.42075434083027,5.957290812716575,9.495848075885892
32,1982,18.624862176677123,5.986556220130274,9.235435049356166
33,1983,18.620765429754794,5.683011776312329,9.303238516908218
34,1984,19.041806857331967,6.847253383725411,10.017524956300548
35,1985,19.344971470024518,6.749505145646987,10.284104722989452
36,1986,18.853069763556437,5.755530842566712,9.566412741046985
37,1987,19.705576996301783,7.001432645345753,10.58079254019822
38,1988,19.627996172793715,7.549504852886612,10.546304797803279
39,1989,18.893125063501643,6.394210226896712,9.420963075438767
40,1990,18.984794655856163,6.899795154132876,10.126231787352056
41,1991,19.096056841361644,6.423885481993151,9.804243217747945
42,1992,18.914727415067624,6.311947542124318,9.68628161275724
43,1993,18.882038446391782,7.0939030621219175,9.986464537852054
44,1994,19.14467327801096,6.6414807950794525,9.899459326336986
45,1995,19.029705023497257,6.465281224060274,9.728199296746574
46,1996,19.01663192187705,6.660510772147678,9.88056718629877
47,1997,17.984019020391507,5.249453387205068,8.637045079124245
48,1998,19.16998440531781,7.213010360071234,10.44878869001507
49,1999,19.493002628736985,7.653296155386301,10.762960502871232
50,2000,18.572759086377186,6.775324899607787,9.665778843975
51,2001,18.90293414194137,7.357446561463835,9.96653520132055
52,2002,18.844172974088902,6.806107687340549,9.72391735369644
53,2003,18.774830463446577,6.999217991515068,9.957503832617808
54,2004,19.02202994227322,7.280567243490438,10.213061965090164
55,2005,19.12307346926575,6.63727133580137,9.64462641701096
56,2006,19.442402563039863,7.774750176273561,10.64673745870041
57,2007,19.085302106709587,7.511834261435617,10.369078230557534
58,2008,19.11898015504795,7.201880341719263,10.179258597740848
59,2009,19.776518385745206,7.987732004973973,10.870019332917808
60,2010,19.87617370808822,8.33213664369863,11.144130908582191
61,2011,18.97663374910411,7.173606642993151,10.051477989205479
62,2012,19.017464222535246,6.439198100399864,9.517162148255053
63,2013,19.01328623603562,7.120020268494521,10.11527908251507
64,2014,19.062981841627124,6.661370117274932,9.836067401085343
65,2015,19.111869376057534,6.9752500664753425,9.959221184052055
66,2016,19.67651732143989,8.65272580561011,10.907567090257377
67,2017,19.486493616594384,7.56680209698411,10.577071368527397
68,2018,19.132521562616304,7.748634534526986,10.443204616578083
69,2019,19.164923169620685,6.49570605033548,9.799196237711918
70,2020,18.791498369813798,6.465177187472541,10.024947157956284
71,2021,19.25957799836548,7.25131469925767,10.683840478411918
72,2022,19.289202659890957,7.121208228830959,10.507056819233288
